text,present,missing
very flattering cu,1,0
I normally buy petite clothe,0,1
my size is a larg,0,1
Great casual top with flar,0,1
" the skirt is long and very full so it overwhelmed my small frame. not a stranger to alterations, shortening and narrowing the skirt would take away from the embellishment of the garment. i love the color and the idea of the style but it just did not work on me. i ret",1,0
" not a stranger to alterations, shortening and narrowing the skirt would take away from the embellishment of the garment. i love the color and the idea of the style but it just did not work on me. i returned this dress.",1,0
. i love the color and the idea of the style but it just did not work on me. i returned this dress.,0,1
. i returned this dress.,0,1
I love this dress,0,1
 but it runs a little snug in bust so i ordered up a size. very ,1,0
 but it runs a little snug in bust so i ordered up a size. very flatteri,1,0
 i usually get an xs but it runs a little snug in bust so i ordered up a size. very flattering a,1,0
" very flattering and feminine with the usual retailer flair for style.
",1,0
Took a chance on this blouse and so glad i di,0,1
" i dont think it looks or feels cheap. it appears just as pictured.
",0,1
. i wasn't crazy about how the blouse is photographed on the model. i paired it whit white pants and it worked pe,0,1
" fits great. drape is perfect. wear tucked in or out - can't go wrong.
",1,0
" drape is perfect. wear tucked in or out - can't go wrong.
",1,0
"First of all, this is not pullover stylin",0,1
 there is a side zipper. i wouldn't have purchased it if i knew th,0,1
" sadly will be returning, but i'm sure i will find something to exchange it for!
",0,1
"

not at all what is looks like or is described as. sadly will be returning, but i'm sure i will find something to exchange it for!
",0,1
The colors weren't what i expected eithe,0,1
 the dark blue is much more vibrant and i just couldn't find anything to really go with it. fabric is thick and good quality. has ni,0,1
" fabric is thick and good quality. has nice weight and movement to it. the skirt just wasn't for me, in the end.
",0,1
" the skirt just wasn't for me, in the end.
",0,1
I have several of goodhyouman shirts and i get so many compliments on them,0,1
" especially the one that says forehead kisses are underrated. don't hesitate. buy this shirt. you won't be sorry.....
",0,1
 looks cute with grey pilcro stet jeans. flattering with peplum in ,0,1
Cute little dress fits tt,1,0
". i like the dress, i'm just not in love with it. i dont think it looks or feels cheap. it appears just as pictured.
",0,1
" the fit more flattering. the crop has a cute flare which is right on trend. this brand has always run small for me, i am 5'8 about 140lbs and",1,0
" this brand has always run small for me, i am 5'8 about 140lbs and carry some chubbiness in the belly. i paired it with a collarless loose navy blazer
",1,0
" i paired it with a collarless loose navy blazer
",0,1
This is a beautiful top,0,1
 it's unique and not so ordinary. i bought my usual mediu,0,1
" i bought my usual medium and i found that it fits tight across my chest. although i had a baby this year and i am nursing, so tha",1,0
" it fits tight across my chest. although i had a baby this year and i am nursing, so that could be why. if i bought again i would",1,0
" if i bought again i would size up.
",1,0
" although i had a baby this year and i am nursing, so that could be why. if i bought again i would size up.
",0,1
"This poncho is so cute i love the plaid check design, the colors look like sorbet & cream and it will pair well with a turtleneck and jeans or pencil skirt and heels",0,1
" i love this look for fall and it can roll right into spring. great buy!!
",0,1
I love this top. i wear it all the time. ,0,1
unfortunately a bit tight in the thigh,1,0
  the problem is that you can tell i wear it all the time as the fabric has started to fade.  i'd still recommend it as it is so com,0,1
" i'd still recommend it as it is so comfortable.
",0,1
This is a cute top that can transition easily from summer to fall,0,1
" it fits well, nice print and it's comfortable. i tried this on in the store, but did not purchase it because the",0,1
". i tried this on in the store, but did not purchase it because the color washed me out. this is not the best color for a blonde. would look much better on a brunette. if this was in a different color",0,1
" this is not the best color for a blonde. would look much better on a brunette. if this was in a different color i most likely would have purchased it.
",0,1
"I got this in the petite length, size o, and it fit just right",1,0
 it fit just right. i like that i didn't have to have it alter,1,0
. i like that i didn't have to have it altered in the length; can wear with flats with plenty of clearance to the floor fr,1,0
I recently got this on sale after looking at it forever on my wish list.,0,1
 i'm so happy with it. its very comfortable and just long enough for my torso (5'3). the patte,0,1
". its very comfortable and just long enough for my torso (5'3). the pattern on the front is very flattering.
",1,0
". the pattern on the front is very flattering.
",0,1
its a bit loose in the mid sectio,1,0
" so, i would say it does run just a little large..... i love the length, and usually do not go with petite sizes at retailer because i like the longer lengths of the regular. but this is perfect on me, and ther",1,0
" i love the length, and usually do not go with petite sizes at retailer because i like the longer lengths of the regular. but this is perfect on me, and there is give up top, so it looks lovely. and it is very soft and comfortable. this will be a go-to top this season!
",1,0
" i love the length, and usually do not go with petite sizes at retailer because i like the longer lengths of the regular. but this is perfect on me, and there is give up top, so it looks lovely. and it is very soft and comfortable. t",1,0
" and it is very soft and comfortable. this will be a go-to top this season!
",0,1
" so it looks lovely. and it is very soft and comfortable. this will be a go-to top this season!
",0,1
" this will be a go-to top this season!
",0,1
 it is not sheer so you don't need a cami. it runs a little large so size down if you ,0,1
" it runs a little large so size down if you want a more tailored fit. 1 criticism, it catches on sharp jewelry or belts and can pull if you are not careful",1,0
" it runs a little large so size down if you want a more tailored fit. 1 criticism, it catches on sharp jewelry",1,0
" size down if you want a more tailored fit. 1 criticism, it catches on sharp jewelry or belts and can pull if you are not careful.
",1,0
" 1 criticism, it catches on sharp jewelry or belts and can pull if you are not careful.
",0,1
Love the tailored fit of these jeans,1,0
The fit on this jacket could be bette,1,0
pretty disappointed in how the shirt fi,1,0
".the normative, 'unconscious' manner of just punching a clock, as well as the conscious manner of… https://t.co/bRnWi6zzE4
",0,1
So @British_Airways seem to be doing the Ryanair school of messy boarding now,0,1
"Hey @McDonalds, how am I supposed to get #SzechuanSauce from the 101 e Baltimore St McDonalds that closed a year ag… https://t",0,1
". Live wit… https://t.co/gdavdjRuF9
",0,1
". Cause I want to listen to music and somone always change it.
",0,1
. We know your time is valuable. Were you able to sp,0,1
". Any suggestions?
",0,1
@DunkinDonuts Just payed full price for two large coffee,0,1
"@YahooCare Just did, thank you very much",0,1
@Windows It's a typical thing updates triggered when I left work and when I get home I have to wait some span of time,0,1
". As if I didn't already have a big enough problem needing to back up, and now this? Fuck sakes.
",0,1
@235307 That doesn't sound quite right,0,1
